quarter,date,time,revenue,stock_price,net_income,net_cash_change,return_on_equity
1,3/31/12,0,1058,38,205,-230,0.156248
2,6/30/12,1,1184,21.71,-157,816,-0.066432
3,9/30/12,2,1262,23.23,-59,380,-0.017172
4,12/31/12,3,1585,29.73,64,-94,0.019744
1,3/31/13,4,1458,28.97,219,-59,0.0743
2,6/30/13,5,1813,34.36,333,676,0.110204
3,9/30/13,6,2016,49.75,425,99,0.133872
4,12/31/13,7,2586,62.57,523,223,0.146712
1,3/31/14,8,2502,57.71,642,-325,0.159468
2,6/30/14,9,2910,74.98,791,1386,0.180372
3,9/30/14,10,3203,74.11,806,4615,0.162892
4,12/31/14,11,3851,78,701,-4684,0.097812
1,3/31/15,12,3543,82.41,512,-896,0.055652
2,6/30/15,13,4042,94.01,719,1704,0.074744
3,9/30/15,14,4501,108.76,896,-815,0.088632
4,12/31/15,15,5841,109.11,1561,599,0.14582
1,3/31/16,16,5382,116.73,1738,1549,0.152172
2,6/30/16,17,6436,125,2283,-1348,0.187256
3,9/30/16,18,7011,120,2627,930,0.201112
4,12/31/16,19,8809,130.98,3569,2865,0.25198
1,3/31/17,20,8032,150.85,3064,-1826,0.20194
2,6/30/17,21,9321,170.44,3894,-881,0.242108
3,9/30/17,22,10328,178.92,4707,937,0.273484
4,12/31/17,23,12972,193.09,4269,865,0.234632
1,3/31/18,24,11966,174.16,4988,4006,0.26258
2,6/30/18,25,13231,176.26,5106,-542,0.260172
3,9/30/18,26,13727,151.79,5137,-1924,0.257292
4,12/31/18,27,16914,166.69,6882,380,0.334748
1,3/31/19,28,15077,193.26,2429,1073,0.113872
2,6/30/19,29,16886,200.71,2616,2801,0.119396
3,9/30/19,30,17652,191.65,6091,2082,0.26662
4,12/31/19,31,21082,209.53,7349,3199,0.301412
