quarter,date,revenue,net_income,net_cash_change,return_on_equity,ebitda_margin,altman_z_score,liabilities_to_assets,eps,stock_price,,
1,3/31/12,869.791,-4.6,-112.1,-0.028072,0.010802,2.67333,0.809392,-0.01,11.96,,
2,6/30/12,889.163,6.164,6.259,0.03648,0.030591,2.422973,0.802136,0.02,7.7,,
3,9/30/12,905.089,7.675,-32,0.043696,0.030121,2.055844,0.811795,0.02,11.32,,
4,12/31/12,945.239,7.897,-80,0.043224,0.033431,2.153184,0.812325,0.02,23.54,,
1,3/31/13,1023.961,2.689,127.76,0.013808,0.042846,2.92972,0.813691,0.01,30.79,,
2,6/30/13,1069.372,29.471,-47.4,0.122888,0.064657,3.655821,0.75325,0.07,35.25,,
3,9/30/13,1105.999,31.822,68.378,0.110204,0.062,4.004542,0.754276,0.08,46.86,,
4,12/31/13,1175.23,48.421,165.909,0.152628,0.080948,4.403107,0.753617,0.12,57.77,,
1,3/31/14,1270.089,53.115,552.485,0.151112,0.086589,4.596651,0.755566,0.13,50.5,,
2,6/30/14,1340.407,71.018,56.794,0.18398,0.106368,4.408277,0.745534,0.17,61.58,,
3,9/30/14,1409.432,59.295,-31,0.142252,0.08852,4.661753,0.745531,0.14,51.32,,
4,12/31/14,1484.728,83.371,-69.6,0.186168,0.053449,3.962429,0.736214,0.2,63.4,,
1,3/31/15,1573.129,23.696,1341.169,0.050324,0.071591,3.377221,0.793389,0.06,81.65,,
2,6/30/15,1644.694,26.335,-160.9,0.053452,0.054974,3.999481,0.789528,0.06,114.77,,
3,9/30/15,1738.355,29.432,-178.4,0.056068,0.051593,4.735807,0.781438,0.07,98.99,,
4,12/31/15,1823.333,43.178,-306.1,0.078668,0.041342,4.81537,0.782078,0.1,94.41,,
1,3/31/16,1957.736,27.658,-204.1,0.048728,0.032819,3.862609,0.794248,0.06,96.77,,
2,6/30/16,2105.204,40.755,-214.3,0.068884,0.040139,3.756253,0.791621,0.1,85.84,,
3,9/30/16,2290.188,51.517,-421.8,0.083344,0.052592,3.552118,0.795181,0.12,123.35,,
4,12/31/16,2477.541,66.748,498.418,0.102516,0.067858,3.892806,0.802761,0.16,142.45,,
1,3/31/17,2636.635,178.222,-389.8,0.252192,0.103158,4.345043,0.792905,0.41,141.18,,
2,6/30/17,2785.464,65.6,840.953,0.086228,0.052543,3.978362,0.81156,0.15,183.86,,
3,9/30/17,2984.859,129.59,-172.3,0.160984,0.07634,4.385641,0.803713,0.3,195.54,,
4,12/31/17,3285.755,185.517,1076.326,0.2148,0.080461,4.366643,0.811602,0.43,284.59,,
1,3/31/18,3700.856,290.124,-223.3,0.305284,0.125813,5.665904,0.800487,0.67,334.52,,
2,6/30/18,3907.27,384.349,1314.517,0.361004,0.123346,6.173133,0.801593,0.88,375.13,,
3,9/30/18,3999.374,402.835,-835.4,0.339004,0.125476,6.41356,0.785602,0.92,346.71,,
4,12/31/18,4186.841,133.934,733.477,0.104548,0.05708,4.835984,0.79831,0.31,328.9,,
1,3/31/19,4520.992,344.052,-441.9,0.251548,0.106756,5.157083,0.790472,0.79,360.35,,
2,6/30/19,4923.116,270.65,1658.108,0.183356,0.148669,5.016406,0.797637,0.62,315.1,,
3,9/30/19,5244.905,665.244,-568.5,0.41042,0.191984,4.624798,0.778244,1.52,275.3,,
4,12/31/19,5467.434,586.97,584.065,0.325108,0.08895,3.949395,0.776835,1.34,343.16,,
